Player50,3320
kuba,1310
Player48,1180
Player51,1140
JACEK,1110
JACEK,1070
JACEK,1020
JACEK,880
JACEK,850
Player47,820
JACEK,770
JACEK,760
JACEK,740
JACEK,650
JACEK,610
JACEK,600
Player40,490
Player55,330
JACEK,300
JACEK,280
JACEK,270
Player46,250
JACEK,240
JACEK,210
JACEK,140
JACEK,90
Player67,90
JACEK,80
JACEK,80
ANDRZEJ,70
JACEK,70
JACEK,50
JACEK,40
JACEK,40
Player44,40
JACEK,20
JACEK,20
Playerlen(data),20
JACEK,10
JACEK,0
JACEK,0
JACEK,0
JACEK,0
JACEK,0
JACEK,0
JACEK,0
JACEK,0
JACEK,0
JACEK,0
Player39,0
Player41,0
Player42,0
Player43,0
Player49,0
Player52,0
Player53,0
Player54,0
Player56,0
Player57,0
Player58,0
Player59,0
Player60,0
Player61,0
Player62,0
Player63,0
Player64,0
Player65,0
Player66,0
